GENE	sample0_1	sample	sample10	sample50	sample500
UBE2Q2P2	0.0	0.0	0.0	0.0	0.0
SSX9	0.0	0.0	0.0	0.0	0.0
CXorf67	0.0	0.0	0.0	0.0	0.0
EFCAB8	0.0	0.0	0.0	0.0	0.0
SPATA31B1P	0.0	0.0	0.0	0.0	0.0
SDR16C6P	0.0	0.0	0.0	0.0	0.0
GTPBP6	6.414699999999999	64.14699999999999	641.4699999999999	3207.3499999999995	32073.499999999996
EFCAB12	0.0	0.0	0.0	0.0	0.0
A1BG	2.0623709999999997	20.62371	206.2371	1031.1855	10311.855
A1CF	0.0	0.0	0.0	0.0	0.0
RBFOX1	0.0	0.0	0.0	0.0	0.0
GGACT	0.0	0.0	0.0	0.0	0.0
A2ML1	0.0	0.0	0.0	0.0	0.0
A2M	0.0	0.0	0.0	0.0	0.0
A4GALT	0.0	0.0	0.0	0.0	0.0
A4GNT	0.0	0.0	0.0	0.0	0.0
NPSR1-AS1	0.0	0.0	0.0	0.0	0.0
AAAS	1.30847	13.0847	130.847	654.235	6542.349999999999
AACS	3.83771	38.3771	383.77099999999996	1918.855	19188.55
AADACL2	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.0
AADAC	0.0	0.0	0.0	0.0	0.0
AADAT	0.0	0.0	0.0	0.0	0.0
AAGAB	0.857846	8.57846	85.7846	428.923	4289.23
AAK1	4.548299	45.48299	454.8299	2274.1495	22741.495
AAMP	11.224700000000002	112.24700000000001	1122.4700000000003	5612.35	56123.50000000001
AANAT	0.0	0.0	0.0	0.0	0.0
AARS2	2.04901	20.4901	204.901	1024.505	10245.050000000001
AARSD1	2.6412199999999997	26.4122	264.12199999999996	1320.61	13206.099999999999
AARS	2.47468	24.7468	247.46800000000002	1237.34	12373.4
AASDHPPT	0.852885	8.52885	85.2885	426.4425	4264.425
AASDH	0.785356	7.853560000000001	78.5356	392.67800000000005	3926.78
AASS	0.0	0.0	0.0	0.0	0.0
AATF	7.76323	77.6323	776.323	3881.6150000000002	38816.15
AATK	0.76764	7.6764	76.764	383.82	3838.2000000000003
ABAT	0.9478060591551	9.478060591551	94.78060591551	473.90302957755	4739.030295775499
ABCA10	0.0	0.0	0.0	0.0	0.0
ABCA11P	0.0	0.0	0.0	0.0	0.0
ABCA12	0.0	0.0	0.0	0.0	0.0
ABCA13	0.530888	5.30888	53.088800000000006	265.444	2654.44
ABCA17P	0.0	0.0	0.0	0.0	0.0
ABCA1	0.21549400000000002	2.1549400000000003	21.549400000000002	107.74700000000001	1077.4700000000003
ABCA2	5.25499	52.5499	525.499	2627.495	26274.95
ABCA3	0.350906	3.50906	35.090599999999995	175.453	1754.53
ABCA4	0.0	0.0	0.0	0.0	0.0
ABCA5	0.37634	3.7634	37.634	188.17	1881.6999999999998
ABCA6	0.0	0.0	0.0	0.0	0.0
ABCA7	20.20253	202.0253	2020.253	10101.265	101012.65
ABCA8	0.0	0.0	0.0	0.0	0.0
ABCA9	0.0	0.0	0.0	0.0	0.0
ABCB10	2.98066	29.8066	298.066	1490.33	14903.3
ABCB11	0.0	0.0	0.0	0.0	0.0
ABCB1	1.07311	10.7311	107.31099999999999	536.555	5365.55
ABCB4	0.0	0.0	0.0	0.0	0.0
ABCB5	2.67744	26.7744	267.744	1338.72	13387.2
ABCB6	1.56515	15.6515	156.51500000000001	782.575	7825.75
ABCB7	5.22378031713	52.2378031713	522.378031713	2611.890158565	26118.90158565
ABCB8	1.734212268909	17.34212268909	173.42122689090002	867.1061344545001	8671.061344545
ABCB9	0.0	0.0	0.0	0.0	0.0
ABCC10	1.3591024712000002	13.591024712000001	135.91024712	679.5512356	6795.512356
ABCC11	0.0	0.0	0.0	0.0	0.0
ABCC12	0.0	0.0	0.0	0.0	0.0
ABCC13	0.0	0.0	0.0	0.0	0.0
ABCC1	3.658347	36.58347	365.8347	1829.1734999999999	18291.735
ABCC2	0.0	0.0	0.0	0.0	0.0
ABCC3	2.37868	23.7868	237.868	1189.34	11893.4
ABCC4	0.0	0.0	0.0	0.0	0.0
ABCC5	2.6129379999999998	26.129379999999998	261.2938	1306.4689999999998	13064.689999999999
ABCC6P2	0.0	0.0	0.0	0.0	0.0
ABCC6	0.0	0.0	0.0	0.0	0.0
ABCC8	0.0	0.0	0.0	0.0	0.0
ABCC9	0.241133	2.41133	24.1133	120.5665	1205.665
ABCD1	3.4820878	34.820878	348.20878	1741.0439000000001	17410.439
ABCD2	0.851483	8.51483	85.1483	425.7415	4257.415
ABCD3	3.222060483	32.22060483	322.2060483	1611.0302414999999	16110.302415
ABCD4	4.712	47.12	471.2	2356.0	23560.0
ABCE1	1.6441016000000002	16.441016	164.41016000000002	822.0508000000001	8220.508
ABCF1	11.63709	116.3709	1163.709	5818.545	58185.450000000004
ABCF2	2.102125	21.02125	210.21249999999998	1051.0625	10510.625
ABCF3	3.0208000000000004	30.208000000000002	302.08000000000004	1510.4	15104.000000000002
